FY,CM,Bucket,Fcst
FY19,Jan,2,19171096.00
FY19,Jan,4,499448.00
FY19,Jan,1,6469085.00
FY19,Jan,3,3724686.00
FY19,Feb,2,15173932.00
FY19,Feb,4,479276.00
FY19,Feb,1,4133146.00
FY19,Feb,3,2997743.00
FY19,Mar,2,15298236.00
FY19,Mar,4,507585.00
FY19,Mar,1,4262466.00
FY19,Mar,3,2981735.00
FY19,Apr,2,19516309.00
FY19,Apr,4,607681.00
FY19,Apr,1,5444662.00
FY19,Apr,3,3695726.00
FY19,May,2,15811201.00
FY19,May,4,460718.00
FY19,May,1,4506976.00
FY19,May,3,2986802.00
FY19,Jun,2,16567439.00
FY19,Jun,4,611025.00
FY19,Jun,1,5276999.00
FY19,Jun,3,3169753.00
