Date,Bucket,Damage Rate
2018-12-30,4,0.419952
2018-12-30,2,0.557932
2018-12-30,1,0.695587
2018-12-30,5,0.771362
2018-12-30,3,0.524523
2019-01-06,2,0.554037
2019-01-06,5,0.756665
2019-01-06,3,0.526806
2019-01-06,4,0.461806
2019-01-06,1,0.517319
2019-01-13,3,0.526658
2019-01-13,5,0.756665
2019-01-13,1,0.556049
2019-01-13,2,0.553894
2019-01-13,4,0.461806
2019-01-20,5,0.754471
2019-01-20,3,0.522483
2019-01-20,1,0.554415
2019-01-20,2,0.554035
2019-01-20,4,0.461806
2019-01-27,5,0.754471
2019-01-27,2,0.554404
2019-01-27,1,0.533956
2019-01-27,4,0.461806
2019-01-27,3,0.518597
2019-02-03,4,0.485579
2019-02-03,1,0.533956
2019-02-03,5,0.775387
2019-02-03,2,0.554707
2019-02-03,3,0.522302
2019-02-10,3,0.513654
2019-02-10,1,0.660355
2019-02-10,2,0.554367
2019-02-10,5,0.775387
2019-02-10,4,0.496062
2019-02-17,2,0.554367
2019-02-17,1,0.660355
2019-02-17,3,0.513654
2019-02-17,5,0.775387
2019-02-17,4,0.496062
2019-02-24,4,0.496062
2019-02-24,2,0.554072
2019-02-24,1,0.660355
2019-02-24,5,0.775387
2019-02-24,3,0.532565
2019-03-03,2,0.554072
2019-03-03,5,0.775387
2019-03-03,4,0.496062
2019-03-03,3,0.532565
2019-03-03,1,0.660355
2019-03-10,4,0.531889
2019-03-10,3,0.532565
2019-03-10,5,0.775387
2019-03-10,1,0.706780
2019-03-10,2,0.554072
2019-03-17,3,0.532661
2019-03-17,5,0.775387
2019-03-17,1,0.706780
2019-03-17,4,0.531889
2019-03-17,2,0.555912
2019-03-24,3,0.533363
2019-03-24,5,0.767146
2019-03-24,2,0.555527
2019-03-24,1,0.706780
2019-03-24,4,0.531889
2019-03-31,4,0.512974
2019-03-31,3,0.532083
2019-03-31,2,0.553560
2019-03-31,1,0.733470
2019-03-31,5,0.764437
2019-04-07,4,0.512974
2019-04-07,1,0.597676
2019-04-07,3,0.507253
2019-04-07,2,0.553560
2019-04-07,5,0.764437
2019-04-14,1,0.593320
2019-04-14,3,0.531091
2019-04-14,4,0.437803
2019-04-14,2,0.553560
2019-04-14,5,0.764437
2019-04-21,5,0.764437
2019-04-21,2,0.557958
2019-04-21,4,0.437803
2019-04-21,3,0.520512
2019-04-21,1,0.555634
2019-04-28,3,0.520512
2019-04-28,4,0.437803
2019-04-28,2,0.557958
2019-04-28,5,0.764437
2019-04-28,1,0.555634
2019-05-05,1,0.555634
2019-05-05,3,0.525907
2019-05-05,4,0.437803
2019-05-05,2,0.557958
2019-05-05,5,0.751616
2019-05-12,1,0.555634
2019-05-12,3,0.525907
2019-05-12,5,0.761716
2019-05-12,2,0.557958
2019-05-12,4,0.417870
2019-05-19,5,0.761716
2019-05-19,4,0.417870
2019-05-19,1,0.555634
2019-05-19,3,0.525907
2019-05-19,2,0.556054
2019-05-26,2,0.556054
2019-05-26,3,0.525907
2019-05-26,1,0.555634
2019-05-26,5,0.761716
2019-05-26,4,0.417870
2019-06-02,1,0.555634
2019-06-02,4,0.456290
2019-06-02,3,0.525907
2019-06-02,5,0.761716
2019-06-02,2,0.556054
2019-06-09,1,0.555634
2019-06-09,5,0.766013
2019-06-09,4,0.456290
2019-06-09,2,0.557806
2019-06-09,3,0.536572
2019-06-16,4,0.456290
2019-06-16,1,0.555634
2019-06-16,3,0.536572
2019-06-16,2,0.558700
2019-06-16,5,0.766013
2019-06-23,1,0.555634
2019-06-23,2,0.562075
2019-06-23,4,0.550233
2019-06-23,3,0.536572
2019-06-23,5,0.767879
